description,genres
"Complete Series: Sons of Neptune.  Invasion sparked a mystery, then a nightmare … and finally the courage to take back our planet!

When 98% percent of the world disappears, decimating the cities, the rural survivors must fend for themselves and decipher the cause while fighting off a new breed of reptiles. After they trace the source to a viral cloud—a preamble to an alien invasion—they must track down a relic, an alien starship in the Arctic, and fly it into deep space to seek help from the enemies of our new enemies. To save Earth, they must rekindle an old war and bring it to our doorstep. And Earth's own spiders, mutated by the cloud, may be our last line of defense.

An adventure that starts on a post-apocalyptic Earth and continues into the stars to a lonely starbase left by our ancestors, Sons of Neptune is an epic sci-fi saga that spans 4 books and 1,525 pages with creatures, spaceships, aliens and humans who can sometimes do the impossible in times of war.

All 4 books are included in this set.

Over 1000 4 and 5-star reviews on the indivual books across all platforms.

""A fast-paced sci-fi thrill ride from start to finish. The ending was so bleepin' gratifying!"" 
— Top2040 Books

""...takes its time revealing its greatest twists and surprises, keeping readers on their toes... spins the apocalyptic dystopian genre on its head, foregoing zombies for man-eating lizards, intelligent, sentient spiders, and a couple of super-humans to boot. Sam's origin story is a particular highlight.... with a third-act reveal.""

— BookLife Prize, Publishers Weekly

Includes:

Book 1 - Earthweeds

Book 2 - Revenge of the Spiders

Book 3 - The Last Starbase

Book 4 - The Boneyards of Nebula

The complete saga. Join the fight to save our world.

Note: This is a work of SCIENCE FICTION. The creatures, starships and alien technology are powered by imagination and may not follow the norms of physics for our small world. The story is always more important than the technology. For lovers of the likes of Heinlein's insect creatures and Burroughs' 4-armed Martians, step aboard! And enjoy the ride.","84, 30, 86, 1, 175"
"At the end of the world - it's the start of something new, with origins both puzzling and terrifying.

A green fog descends over every major city in the world, and the populations disappear one by one. By nightfall, every living soul in every metropolis is gone. Earth grinds to a halt. Only a few stragglers are alive in the rural countryside. When Sam and his brother return from a mountain camping trip, they find only empty city streets. Alone, they look for any survivors to give them answers. The next day, lizards the size of Komodo dragons flood the city and attack the remaining humans. When these creatures are confronted by giant spiders, the two species fight each other for the remaining food supply.... with the humans caught in the middle.

A teenage boy with electric powers - stemming from his DNA. 
His brother with a strong iron will. 
A college student who can understand and communicate with animals. 
A scientist with a secret. 
And a band of psychopaths with an agenda of their own. 

Defending each other from the evils of men and creatures alike, the last humans must race to unravel the mystery of the empty cities, the swarming creatures, and the disappearance of humankind. 

Invasion sparked a mystery, then a nightmare... and finally the courage to take back our planet!

""Earthweeds takes its time revealing its greatest twists and surprises, keeping readers on their toes..."" — BookLife Prize, Publishers Weekly (rated 9/10 for Plot/Idea and Originality)

""A fast-paced sci-fi thrill ride..."" -Top2040 SciFi

""Earthweeds is a fun read that moves quickly and rarely takes a breather."" - Amazing Stories Magazine

Earthweeds is Book 1 in the Sons of Neptune saga","84, 30, 86, 1"
"Over 1,400 Pages of Sci-Fi Adventure! **AMARANTHE I: RISE includes the 1st trilogy in the Amaranthe universe (Starshine, Vertigo, Transcendence) + 2 short stories + bonus content**

Space is vast and untamed, and it holds many secrets.
The year is 2322. Humanity has expanded into the stars, inhabiting over 100 worlds across a third of the galaxy. Earth struggles to retain authority over far-flung planets and free-wheeling corporations, while an uneasy armistice with a breakaway federation hangs by a thread as the former rebels rise in wealth and power. And in the shadows, powerful forces conspire to bring the fragile peace crashing down.

Alex Solovy is a space scout for hire. When she takes a routine job to chase down an errant signal in the Metis Nebula, nothing suggests the secret it conceals will turn her life—not to mention the entire galaxy—upside down. But a chance discovery reveals a terrifying truth: we are not alone. And we are not ready.

Now Alex, acerbic loner and recalcitrant wanderer, must navigate a galactic power struggle, a political conspiracy and the worst impulses of human nature to expose a threat on two fronts and avert all-out war. The fate of civilization hangs in the balance.

When faced with our greatest challenge, will we rise to triumph or fall to ruin?
Amaranthe I: Rise is a riveting tale of resilience, sacrifice, and the unyielding human spirit. G. S. Jennsen weaves a masterful narrative that will keep readers on the edge of their seats, immersing them in a richly imagined world of interstellar intrigue and extraordinary technology as she whisks them along on an exhilarating journey, where the choices of one individual may determine humanity's destiny.

Fans of The Expanse, Adrian Tchaikovsky and Peter F. Hamilton will love this epic science fiction tale of adventure, political conspiracy, alien invasion, interstellar war, space exploration and intrigue, all anchored by an incredible cast of memorable and compelling characters who fight, fail, persevere and refuse to fade away.

** AMARANTHE I: RISE WAS ORIGINALLY PUBLISHED UNDER THE TITLE ""AURORA RISING: THE COMPLETE COLLECTION"" **","84, 1, 30, 86, 1, 176"
"AMARANTHE II: REBELLION is jam-packed with over 1,200 pages of Sci-Fi Adventure
**Includes the Aurora Renegades trilogy (Sidespace, Dissonance, Abysm), the 2nd trilogy in the Amaranthe universe, + a short story + bonus content)**

It is a time of accelerating technological change & shifting allegiances as the old rules fall away & the old balance of power is upended. A new world rises--one of unshackled AIs, indestructible starships, ethereal quantum spaces & potent new weapons--& the race is on to determine who will control its future.
When faced with its greatest challenge, will humanity rise to triumph or fall to ruin?
*
SIDESPACE (Aurora Renegades Book One)
Humanity is saved. But its troubles are just beginning.
To achieve their extraordinary triumph over the Metigen armada, humanity put aside its myriad of conflicts & united against a common foe intent on annihilating civilization. In victory, unparalleled peace & prosperity are theirs for the taking--if they can keep hold of them.

When the secrets behind the Metigens' defeat escape the shadows, the people who won the war find their lives in danger. Facing anti-synthetic terrorists who want them dead, power-hungry politicians who want them chained, & a rapidly dwindling number of people they can trust, the Prevos--individuals & AIs sharing a single body--must take their fate into their own hands.

51 Portals. 51 Universes.
Intent on learning the purpose behind the Metigens' elaborate multiverse network, Alex Solovy, Caleb Marano & Valkyrie embark on a gripping journey through the network's portals, each one leading to a universe not their own. In a mosaic of spaces inhabited by fantastical aliens & worlds both beautiful & deadly, they will be forced to question everything they thought they knew, including the nature of life itself.

** AMARANTHE II: REBELLION WAS ORIGINALLY PUBLISHED UNDER THE TITLE ""AURORA RENEGADES: THE COMPLETE COLLECTION"" **","84, 1, 30, 86, 1, 176"
"A man with a dream of human evolution unlocks the ability via biotechnology, and opens the door to living nightmares instead. How can humanity survive when some are more human than others? Axiom is a story of science and technology and the reality of humanity, it is a work of fiction within the scope of possibility. It is a mirror to our society.","84, 30, 86"
"It should never have been empty…

When the crew of the cargo transporter Endeavor 101 docks in Oasis 8, the largest interstellar waystation in the galaxy, there isn't a soul in sight. Something is very, very wrong; the docks are trashed, the floors are stained with something that looks eerily like blood, and warnings from the crew talk about something big, and something dangerous.

The longer they stay, the more they find out about a mysterious fossil from the Dead Zone, a killer infection that ruins the lives of scientists and their loves alike, a brave engineer who stood as the station's last line of defense, and a horrific monster that can't be stopped and can't be contained. A deadly creature capable of ripping through rebar and surviving in the vacuum of space.

A monster that hasn't left the ship yet.

Liz, Jared, and Audrey are about to discover what happened to shut down the station. And they're not going to do it alone.","84, 30, 86, 33, 191"
"Destiny calls for Ambros. The children who hold the balance of this world in their hands gather in the north. Confrontation looms. Battle lines are drawn. War is inevitable. Mage conflict, unknown on this world for aeons, returns with mages from Yarilo called to maintain the equilibrium so critically poised.
Malekim, the rogue mage, leaves his southern Keep where he’s lain low and mostly hidden while he regained in strength and power, though what he's set in train for Ambros seems irreversible.
Can a strong, motivated northern army, made up of many peoples of Ambros, hold back the might and power of the Warlord’s warrior army that moves inexorably northwards to challenge them?
Ochleos Rox’s prophecy, from so long ago, now begins to fulfil itself though Malekim can still ensure it doesn’t happen. And other beings stir, restless.","84, 14, 86, 30, 86"
"Stolen from Earth, can Jennifer Samson survive on a new planet?
Alien Warrior Brides is a series of standalone stories with a connected universe. Each book can be read separately. Guaranteed HEA. No cliffhangers. No cheating. Expect lots of steam.Jennifer Samson is young professional, working two jobs in order to afford rent, food, and student loan payments. She has no family, few friends, and zero romantic prospects.Quy Vuong is seven feet tall, with skin the color of honey. He is a warrior, with rippling muscles and ink black hair.The Yuenanren are a race who have have few females among them.The intergalactic federation, through Kandalph Space Marines, Inc., has been bringing humans from Earth as potential mates to keep the Yuenanren from dying out entirely.Jennifer Samson is one of them.","84, 29, 30, 86"
"Fans of Matt Haig's 'The Midnight Library' or Ruth Hogan's 'The Keeper of Lost Things' will love checking in at 'The Anywhere Hotel'…

""Perfect for rainy days in a reading nook with a good cup of coffee!"" (Amazon Reviewer)

************

What would you give up for the chance to go anywhere in the world, anytime you wanted?

When Ava Marley stumbles upon the mysterious Atlas Hotel on a remote beach in Zanzibar, she's already on the run. Her estranged father wants her to join the family's global coffee-shop empire, but she would rather scrub toilets than follow in his footsteps. So when innkeeper Bruno di Mare offers free lodging for honest labour, it doesn't take Ava long to agree.

Only the Atlas is no ordinary hotel - it's a portal to the world. In a matter of seconds, Bruno's guests can travel the entire globe as long as they return within twenty-four hours. Croissants for breakfast in Paris, lunch with elephants in the Okavango Delta, a sunset cruise on the Amazon, finished off with a rooftop dinner in Cappadocia - the Atlas makes it all happen in a day, and Ava gets sucked in like a drop of water into sand.

But entry comes at a bitter price - one the innkeeper reveals only after she has checked in. And now Ava, like all other guests, must make a choice: Will she leave her mark on the world or run away forever?

************

The Anywhere Hotel is a fun and heady adventure with a dash of magic and lots of heart - 'the perfect escapist read'.","84, 38, 192, 30, 86"
"In a world where the cells that make up our bodies are not committed to any one organism, Marla is confronted by the fickleness of her cytes, and resolves to understand them with help from Ada, a centuries-old Flourisher. Swappers like Ruth embrace fluidity, and meet with others to exchange cytes, seeking the perfect mix. But Ruth faces her own crisis, and as the technology to manipulate cytes advances, all three are drawn into a struggle to shape the future of life.","84, 30, 86, 173"
"Life on Earth offered her a slow death by one of the many cancers that riddled her body. The Terran Avatar and the Reset Project have offered her a new life. Any life is preferable at this point.

Liona accepts that she will be torn down and rebuilt, and as long as she gets to sleep through it, she is all for it.

The mail-order bride factor is odd, but it is a traditional way to get a compatible woman long-distance. She supposed that aliens weren’t much different.

After being reset, she looks at the specs of her destination species and is shocked. He was different. He was very different. It never occurred to her that space dragons were a real thing.","84, 30, 176, 29, 121"
"In this Rainbow Award-winning space opera/military sci-fi series, Earth is a dead planet, dark for thousands of years; lost for so long no one even knows where the solar system is. Her last known colony, Albion, has grown to be regional galactic power in its own right. But its drive to expand and found colonies of its own has threatened an alien race, the Maess, against whom Albion is now fighting a last-ditch battle for survival in a war that’s dragged on for generations.

Taking Shield charts the missions and adventures of Shield Captain Bennet, scion of a prominent military family. Bennet, also an analyst with the Military Strategy Unit, uncovers crucial data about the Maess to help with the war effort. Against the demands of his family's 'triple goddess' of Duty, Honour and Service, is set Bennet’s relationships with lovers and family—his difficult relationship with his long term partner, Joss;  his estrangement from his father, Caeden, the commander of Fleet's First Flotilla; and Fleet Lieutenant Flynn, who, over the course of the series, develops into Bennet’s main love interest.

Over the Taking Shield arc, Bennet will see the extremes to which humanity’s enemies, and his own people, will go to win the war. Some days he isn’t able to tell friend from foe. Some days he doubts everything, including himself, as he strives to ensure Albion’s victory. And some days he isn’t sure, any longer, what victory looks like.","84, 30, 176, 175"
"McCall Richter finds criminals, con men, and deadbeats better than anyone else in the empire. 

She’s proud of her success and that she owns her own spaceship, especially since she struggles to understand human motivations, can’t tell when people are lying to her, and is horrible at recognizing faces. Being autistic in the empire is frowned upon—and there’s a handy normalization surgery to correct it—but she’s managed to prove her worth and avoid irking the tyrannical regime. 

Except for one thing. 

Two years ago, she liberated the android, Scipio, from an imperial research facility where he was treated worse than a slave. He’s become her business partner and best friend, but if the empire finds out she has him, a “normalization” surgery will be the least of her worries. 

When her ship is confiscated by a cyborg law enforcer needing to transport prisoners, McCall knows she and Scipio are in trouble. Worse, the enforcer’s pilot is a former bounty hunter and business competitor she beat to the prize many times in the past. 

Soon, he’s snooping all over her ship and questioning her about her past. 

And there's something strange about him. He knows far more about what she’s thinking than any human should. 

It’ll only be a matter of time before he discovers her secret. And then what?","84, 29, 30, 176"
"Liam, an aerospace engineer, meets astrophysicist Maria at a space technology symposium in London. Their shared dream leads them to decide to collaborate on a private space research project. They invite electronics expert David and artistic Sophia to join the team. As the project progresses, they face many challenges, including technical difficulties and financial difficulties, but they persevere. They continue to improve the spacecraft during testing, and during this time, they accidentally discover a mysterious signal, so they embark on a journey into space to find the source of the signal.","84, 30, 86"
"La grande ""flotta misteriosa"" di umani che si definiscono i Galattici ha ottenuto un rifugio sicuro sul pianeta Sumer. Tuttavia, i Sumeri non considerano i loro ospiti molto educati o addirittura riconoscenti. Poiché essi sostengono di essere in fuga dal loro nemico mortale, i Simov, la Flotta Spaziale li protegge dagli attacchi. I primi arrivi sono stati particolarmente civili con una scorta molto piccola di astronavi da guerra. Ma c'è un'altra flotta di Galattici là fuori? E se così fosse, qual è la loro intenzione?","84, 30, 86, 1, 174, 175"
"The evolution of artificial intelligence has led to the creation of an amoral and psychopathic superintelligence, that has engineered and secured strategic resources and the structure of society. The AI has bred and created humans who function according to its ultimate goal which is to become eternal. The rise of humanity and a few key individuals is set 100 years from today's date.","84, 30, 86, 174, 175"
"In the glamorous and high-stakes world of professional soccer, Alejandro and Luis, two star players for Real Madrid, find themselves at the heart of both a championship season and a burgeoning romance. Amidst the thrill of victory and the pressure of the spotlight, their personal and professional lives intertwine in unexpected ways.

Alejandro, a dynamic forward known for his skill and passion on the field, struggles with the weight of his own expectations and the scrutiny of the media. Luis, a talented midfielder with a deep love for the game, grapples with his role and aspirations in the sport. When their paths cross, the chemistry between them is undeniable, but so are the challenges they face.

As they navigate the complexities of their careers and the intensity of their feelings for each other, Alejandro and Luis must confront their fears and insecurities. From tense locker room confrontations to intimate moments of connection, their journey is marked by both personal growth and shared triumphs.

""Beyond the Goal: A Love Unwritten"" is a heartfelt exploration of love, ambition, and the pursuit of happiness. It is a story of two individuals who must reconcile their professional dreams with their deepening relationship, finding strength and solace in each other as they strive to achieve their goals both on and off the field.","84, 31, 22, 146, 86, 29, 31, 22, 86"
"Follow Quarterback, Colton Anders, and his best friend, Linebacker, Grayson Moore, as they navigate football, love and life in this fun sport romance boxset.

This boxset contains both Tackling Love and Tackling Life.

Tackling Love:

Colton Anders.
Quarterback for the New England Warriors.
Playboy, cocky, self-assured, used to getting what he wants.

Skye Hadley.
Teacher at a high-profile private school.
Quiet, plays it safe, dedicated employee.

Unexpectedly, their worlds collide.
Colton tempts Skye, and she throws caution to the wind and takes him home.
Unknowingly propelling herself into a world filled with fans, media and lots of attention.

The media attention is grueling, but the chemistry is undeniable. Vulnerable in lust, Skye wants nothing more than to give in to her heart's desires.

With the world watching will Colt be able to win Skye over in this fun, sports romance?

Tackling Life:

Grayson Moore linebacker for the New England Warriors.

His whole life has been working up to this moment, the moment when his team wins the Superbowl.
But life has a way of throwing you an illegal pass.

Diandra Evergrow was the love of his life, well, until she ended it.
Now she's walked back in, on the best night of his life with news that could destroy not only him but all those that are close to him.

Will Grayson put it all on the line for the woman that once claimed his heart?
Or will he tuck and run to protect it?","84, 31, 29, 112, 31"
"Colton Anders.
Quarterback for the New England Warriors.
Playboy, cocky, self-assured, used to getting what he wants.

Skye Hadley.
Teacher at a high-profile private school.
Quiet, plays it safe, dedicated employee.

Unexpectedly, their worlds collide.
Colton tempts Skye, and she throws caution to the wind and takes him home.
Unknowingly propelling herself into a world filled with fans, media and lots of attention.

The media attention is grueling, but the chemistry is undeniable. Vulnerable in lust, Skye wants nothing more than to give in to her heart's desires.

With the world watching will Colt be able to win Skye over in this fun, sports romance?

From USA Today Best Selling Author Kathleen Kelly.","84, 31, 29, 112, 31"
"He's the womanizing man-child of Hockey House… until he gets a visit from a one-night stand with news that will make him grow-up on the spot…

Why the hell did no one tell me that condoms don't work 100 percent of the time?

This can't be happening to me.

I'm not ready to be staring at a positive pregnancy test and finding out the kid's mine.

But I'm also not ready to let the gorgeous red head with the hottest body on the planet walk out the door, crying, after telling me the news.

I have to be there to support her… whether I want to or not. I won't leave her hanging the way Dad left my mom and me.

I'll do whatever it takes to support Caroline through this.

Luckily for me, the support her hormone-crazed body is looking for right now is a little Casey lovin'… I just didn't realize that jumping into this mind-blowing affair would make me fall so hard. I've never fallen. I don't do that. But this queen of hearts is changing my life with a force I have no hope of fighting.

I'm Mr. One-Time Only. And she's just pulled me right off the market… until I find out her secret and I'm left with a choice I don't want to make.

Do I take the easy road and go back to my old ways?

Or do I fight for something I never thought I wanted?

The Game Changer is a sizzling stand-alone NA hockey romance with no cheating and a guaranteed happy ending. Perfect for fans of Off-Campus by Elle Kennedy, #Nerd by Cambria Hebert and Don't Let Me by Kelsie Rae.","84, 31, 29, 31"
"When my summer vacation is unexpectedly cut short, I have no choice but to return to the Cape Cod beach house where I've spent all of my summers. What I'm not expecting is for my bedroom to be taken over by Crew Burke, a college baseball player my family is hosting for the summer.

Crew may be a superstar on and off the field, but his charm is wasted on me. He thinks not giving up my room will push my buttons, but he has another thing coming. There's nothing in this world that I hate more than baseball players, especially the ones who think they're God's gift to women. So, while other girls can be Crew's one-night stand, I'll never be with a baseball player. I despise them.","84, 31, 29, 86, 112, 31"
"Meet bad boy shortstop, Jax Carrigan in this second chance romance...

Baseball and fast women are my life. What can I say? I'm good-looking and in the best shape of my career. Being a National League MVP contender, I'm even a great athlete. There's only one thing I'm missing—Jocelyn Kennedy.

Ten years have passed since the night we broke each other's hearts. And not a day goes by that I don't feel the sting from my actions.

But that's about to change now that she's single again.

When we arrive at a mutual friend's party, it reconfirms what I already know—we belong together. I'm confident I can win her back.

There's just one thing I need to do—convince her.

Ten years ago, I didn't fight hard enough. I won't make the same mistake twice. Second chances don't happen often. But here's the thing, I go after what I want. And what I want is Jocelyn Kennedy.

Swing For The Fences is book two in this standalone sports romance series. If you like sexy alpha baseball players, click to meet Jax in this hot sports series.","84, 31, 29, 31"
