description,genres
"A divorced criminal lawyer. Her first love. The island she abandoned for a better life over twenty years ago.

Susan Sheridan knows Martha's Vineyard like the back of her hand. She grew up there as the eldest of the three Sheridan Sisters, their father the longtime owner of the Sunrise Cove Inn in Oak Bluffs. The Inn, the water, the sun all spun with laughter, and love, with the most important people— her family and friends. It was her glittering, perfect life—until it wasn't.

Tragedy struck over twenty years ago, and Susan has hardly said a word to her sisters or her father or anyone else she ever loved.

Not until now.

Her father and Sunrise Cove Inn are both falling apart, just like Susan's life. Her husband left her for the secretary at their shared law firm, and her children have their separate lives. And she's keeping her own secrets.

Now it's time to go back to the island she once loved so much. Time to face the horrors and secrets of her past, everything she's tucked away since she left the Vineyard and started a family of her own.

But as she digs deeper into the dark psyche of her past, she digs up old truths, lost loves, and regrets—all with the once-familiar backdrop of this gorgeous island.

The Vineyard has been waiting for her. But can she handle what she finds there? Can she forgive and never again regret?

Dive into this new women's fiction series by heading to Martha's Vineyard— a backdrop of white sand and crystal blue waters that follow the stories of the Sheridan sisters. A heartwarming journey of friendship, loss, and love that will have you wanting the next book.

For fans of Pamela Kelley, Caroline Brown, Debbie Macomber, and Jan Moran.","84, 24, 38, 192, 1, 88, 29"
"The Copperfields were once the most beloved family on Nantucket Island. Twenty-five years ago, their lives changed forever. And they never saw one another again.

Not until now.

In the spring of 1997, Julia watched as a judge sentenced her father, the renowned novelist, Bernard Copperfield, to twenty-five years in prison for conning, swindling, and stealing millions of dollars from his dearest Nantucket friends and fellow artists. With her family in ruins around her, seventeen-year-old Julia packed up her bags and ran away, pledging never to return to Nantucket ever again.

Now forty-three, Julia Copperfield finds herself in the midst of another crisis. The publishing company she built from the ground up is on the brink of collapse; her husband, Jackson, makes an announcement that shocks her to the core; and her adult children have left her an empty-nester. During those long nights alone, she finds herself daydreaming about long-lost hours at the The Copperfield House, back on Nantucket.

To add insult to injury, Bernard Copperfield has just been released from prison— and he's headed back to The Copperfield House.

It's been twenty-five years since Julia has seen any of her three siblings or parents in the flesh. But it's time to face the horrific mess she left behind— to return to Nantucket and demand answers for why her father committed his crimes and destroyed the family she'd once adored.

But upon her return to the gorgeous island of Nantucket, Julia finds something she never imagined she would— a love she'd nearly completely forgotten about, and a creativity that she'd thought remained deep in the past.

Love, creation, and family await her. And as she falls into the throes of a life she'd abandoned so long ago, she soon begins to question her father's crimes... and put together pieces to a far different puzzle.

Dive into this brand-new women's fiction series set on the Island of Nantucket. A glorious world of beautiful beaches, frothing waves, cobblestone streets, and a beloved cast of characters. The series tells the story of the Copperfield Family, their return to Nantucket Island, and their healing after decades of pain and loneliness. Together, they can be better than ever before.","84, 38, 192, 29, 112, 1, 88"
"This bundle contains the first three eBooks of The Huguenot Chronicles series.

A family torn apart. A king with an iron fist. Will their love, faith, and loyalty be strong enough to help them survive war, persecution and a cruel separation?

France, 1685. Jeanne is the wife of a wealthy merchant, but now she risks losing everything. Louis XIV's soldiers will stop at nothing to convert the country's Huguenot ""heretics"", yet Jeanne and Jacob hold fast to their Protestant principles of liberty of conscience.

But will the punishment for their defiance be more than they can bear?

If Jeanne and Jacob can't find a way to evade the soldiers' clutches, their family will face a fate worse than poverty and imprisonment. They may never see each other again…

As Jacob becomes an indentured servant in the New World and Jeanne earns a meager living in Switzerland, a sudden disruption in European politics leaves their chance of a bittersweet homecoming more doubtful than ever…

Will the Delpech family survive the years of war, piracy, and persecution to reunite at last?

You'll adore this brilliantly researched historical saga because everyone loves heart-warming tales of family loyalty and a fight for survival against the odds.","84, 17, 86, 1, 89, 32, 178"
"Jo Modeen: beautiful, noble, deadly ... and on mission.

In this boxed set of books 7 to 9 in the high-action series, Jo Modeen finds herself going dark from NatSec to defend honour and truth, investigating a deadly case of industrial sabotage, and embarking on a high-profile rescue mission in dangerous territory far from home. As always when on mission, her mantra remains 'go hard or go home'. 
Click the BUY button to share Modeen’s next thrilling adventures today.

The books in this series can stand alone but are best enjoyed when read in sequence.","84, 1, 85, 33, 186"
"The JO MODEEN series: a crimefest of menacing missions and pump-action suspense.

In this boxed set of books 4 to 6 in the high-action series, Modeen’s missions uncover dangerous links to the past. Driven to go rogue, she embarks on a lethal campaign of retribution. And even when drawn into an international case that could alter the course of modern warfare, she maintains her mantra: go hard or go home.

The US has Jack Reacher and the UK, James Bond. Australia has Jo Modeen. Click the BUY button to continue the adventure today.","84, 33, 186, 1, 85"
"In the scorching deserts of Iraq, a distress call pierces through the night, summoning Ethan James, an elite military soldier of fortune, into action. His former commanding officer's desperate plea sets in motion a high-stakes rescue mission that will test the limits of Ethan's combat prowess and unwavering resolve.

Three covert intelligence operators, captured by a ruthless insurgent group, face imminent execution, their lives hanging by a thread. Ethan, a battle-hardened veteran with a reputation for getting the job done, wastes no time in infiltrating the hostile territory, establishing contact with a network of local resistance fighters.

Intelligence gathered from these allies reveals a chilling truth – the hostages are being held in a heavily fortified compound in the heart of Mosul, a city gripped by the iron fist of the insurgency. Undeterred, Ethan assembles a team of skilled mercenaries, each a specialist in their own right, to aid him in this daring rescue operation.

As the team breaches the compound's defenses, they engage in intense firefights with the insurgents, bullets whizzing past them as they navigate the treacherous terrain. Ethan's combat instincts are pushed to their limits, his past intertwining with the present as he confronts the demons of his former unit.

Amidst the chaos, they locate the hostages, battered and bruised, their lives hanging by a mere thread. With time running out, Ethan and his team must act swiftly to secure their safe extraction, navigating a gauntlet of obstacles that seem to multiply with every step.

The pursuit intensifies as the insurgents, enraged by the audacious rescue attempt, unleash a relentless onslaught, determined to recapture their prized captives. Ambushes and treacherous terrain test Ethan's leadership and combat skills to the very limit, as he fights to protect his team and the hostages from the unrelenting onslaught.

In a climactic showdown, the team reaches a safe haven, and the hostages receive the urgent medical attention they desperately need. But the battle is far from over, as Ethan comes face-to-face with the mastermind behind the hostage-taking – a cunning adversary who has orchestrated this deadly game from the shadows.

With unwavering determination, Ethan delivers a final, devastating blow to the insurgency, crippling their operations and securing a hard-fought victory. As the dust settles, Ethan and his team return to their base with the rescued hostages, hailed as heroes for their extraordinary bravery and unwavering commitment to the cause.

In the aftermath, Ethan reflects on the sacrifices he has made and the importance of fighting for what is right, even in the face of overwhelming odds. The hostages, now safe and recovering, provide valuable intelligence that helps prevent future terrorist attacks, their ordeal serving as a stark reminder of the ever-present threat that lurks in the shadows.

As the sun sets over the war-torn landscape, Ethan stands tall, his resolve unshaken, ready to answer the call whenever duty demands – a true soldier of fortune, forged in the fires of combat, forever committed to the fight against those who seek to sow chaos and destruction.","84, 1, 33, 86, 89"
"Owen Jackson, also known as Arc1, is the head extraction specialist of SEED, a special unit that is called upon to extract deep-cover intelligence operatives working anywhere in the world. When a double agent named Atifa Naifeh sends a coded message from Pakistan, Jackson springs into action, knowing that time is of the essence.

He sets up a plan to track Naifeh and bring her to safety, but when no one shows up at the extraction point five days later, Jackson and his team cross into Pakistan to find out what happened. Tragically, it results in the death of Jackson's partner, Ryan Hawkins.

Determined to find Naifeh and bring her to safety, Jackson meets Nazihah Asghar, a former student of Mohammed Nassar and a trusted asset who was supposed to meet Naifeh at the safe house. Together, they navigate the complex world of espionage and risk everything to save Naifeh.

However, when they finally find Naifeh, she reveals that Nassar was executed by the Inter-Services Intelligence (I.S.I.), the Pakistani intelligence agency. Jackson and Naifeh must now make their way back to the Afghanistan side while fending off I.S.I. agents who are trying to stop them.

In this action-packed story full of suspense and danger, readers will follow Jackson's harrowing journey as he fights to save Naifeh and navigate the complexities of the world of espionage.","84, 33, 86, 190, 1, 89, 32, 138"
"Step right up to the dazzling, dangerous world of ""Lucky Slots,"" where Alexandra's mundane night at the casino erupts into an otherworldly adventure fraught with peril and enchantment.

One moment she's a gambler aiming for a jackpot, the next she's a fire mage sucked into a world that needs a hero in a realm where the slot machines hold the power of life and death.

Can she be the hero they need?

With her heart pounding and her breath caught between hope and fear, Alexandra must quickly adapt to her new surroundings and her fiery abilities. She must learn to use the slots to her advantage.

The white-haired gnome whose sassy taunts spur her to action is more than just her guide; he's her key to survival. Full of vim and vigor, he becomes Alexandra's steadfast companion as they navigate a world on the brink.

She must gamble with her future to save a world that is so real and vibrant that she never wants to leave.

Battles with kobolds and minotaurs and encounters with talking raptors are par for the course in a world as rich and unpredictable as the swirling colors on the slot machine reels. Each spin could be her last, unleashing untold magic or calamitous foes, testing not just Alexandra's mettle but the bounds of her imagination.

From eerie underground cities to shadowy pyramids, the locales of ""Lucky Slots"" are as fantastical as they are treacherous, setting the stage for an epic journey that blurs the lines between what's real and what's fantasy. New and more fantastical spells await her as she levels, her slot machine growing stronger over time.

""Lucky Slots"" is an opus of action and intrigue that weaves the lore of slot machines into a fabric of magic and heroes. Alexandra's transformation from gambler to fire mage is but the first roll of the dice in a series of gambles that will see her confront her deepest fears and maybe, just maybe, find a destiny greater than any jackpot the real world could offer.

Brace yourself for an experience that's at once visceral and visionary, where every pull of the lever might swing fate's pendulum. 

""Lucky Slots"" isn't just a story; it's a slot machine of narrative wonder, ready to pay out a jackpot of adventure, friendship, and a quest for home that will ensnare your heart and rekindle your belief in magic.

Are you feeling lucky?","84, 14, 120, 1, 86"
"Idealistic American journalist Sam Seton came to Prague in the 1990s, looking for Václav Havel’s brave new civil society – capitalism with a human face.

What she found was a hedonistic culture clash of expatriates and native Bohemians rising out of the ashes of communist bureaucracy. Amongst snow-covered castles and soot-stained facades, bad food and good beer, addiction and corruption, Sam investigates a sinister conspiracy that threatens the foundations of the world’s newest country.  

The Last Bohemians paints a seductive picture of Prague’s “Left Bank of the ’90s,” where desire and decadence defined the last days of the 20th century.","84, 29, 1, 77"
"Everybody loves to hate a ‘bad guy’ and Shakespeare’s ‘Richard III’ is one of the 'badest' to ever grace a stage or bloody a page! ‘Murder most foul’ is his specialty, sparing neither friends, family, nor children! In this ‘alternate tale’, Richard’s ‘ghost’ comes back to ‘set the record straight’. Travel back to fifteenth century England when the Lancasters and the Yorks were caught up in the civil war known as the ‘War of the Roses’ and follow in Richard’s bloody wake as he piles up the bodies on his murderous way to his brother’s throne.","84, 1, 85"
"Tagged Bonnie and Clyde by their friends, for stealing. Two teenage drug addicts Honey Dawkins and Clyde Heartwood, try The Geographical Cure. The cure requires that you move far away and change your life by giving up drugs. But does it work?  Find out as we follow Bonnie and Clyde along their own journey. If the bent drug squad policeman doesn’t get them the drug dealer's will. Travel with our teenage runaways on an exciting adventure into the outback of Australia as they deal, con and steal their way across the countryside. From Sydney to Brisbane, Toowoomba to St. George, Bollon to Thargomindah, Windorah, Birdsville, Marree, Lake Eyre and finally Oodnadatta.
An Australian adventure story, a story of love and vice, that begins in Sydney and ends in a race across the Australian outback. The teens are finally caught during a regatta at Lake Eyre. Although always in trouble, their journey isn’t all doom and gloom as they try to get themselves straightened up.
Does the geographical cure work?
Will they eventually succeed in their rehabilitation? 
To find out what happens to Bonnie and Clyde download the full story.","84, 1, 77, 85"
"A secret room beneath the Sunrise Cove Inn unlocks a history far more dramatic than the Sheridans could have ever imagined.

Amanda and Sam welcome their gorgeous baby girl the same week a construction crew discovers a sealed-up room in the basement of the Sunrise Cove. Historians must be called to ensure everything is handled the right way.

And then the Sheridans receive a blow: the Sunrise Cove must close for now.

But Amanda knows there's something fishy going on. A few months back she handled the case of a horrible client who was guilty of his crimes. She was able to talk down his prison sentence dramatically -- but his very rich and powerful parents are out for revenge. She thinks they're using this historical room as leverage to close the inn and destroy the Sheridan family. But she won't give up without a fight.

But what's really in that room unshackles long-held Sheridan Family secrets from nearly two hundred years ago. And standing in the shadow of so much history and empathy reminds Amanda, Wes, and the entire Sheridan family of just how lucky they are.

Dive into the nineteenth book of the Vineyard Sunset Series, in which a vibrant cast of characters live out their dreams on Martha's Vineyard. This is the story of the Sheridan and Montgomery siblings, a heartwarming journey of friendship, loss, and love.","84, 1, 88, 29"
"Siobhan Dunmoore was not having a good war. 

She's had more ships shot out from under her by the invading Shrehari Empire than any other officer in the Fleet. Some called her overly aggressive. Others simply called her reckless. What the enemy called her was something else altogether.  That she gave the Shrehari a good drubbing along the way didn't matter in the least, because not all her enemies wore an Imperial uniform. A reputation for bad luck was pretty much the only reputation she had left.

Sailing yet another ruined starship home after a near defeat, she wanted nothing more than a long, long rest, because this time, she had escaped by the thinnest of bluffs. Unfortunately, the Admiralty had other ideas.

The frigate Stingray was known as the unluckiest ship in the Fleet and her Captain had just been removed in disgrace for cowardice. Some in the Admiralty would dearly love to retire the old warhorse. After all, she was the last of her type left in service, and perhaps it was time to break up the jinx permanently, along with the crew. But in the midst of an interstellar war, every ship that could fight was needed.

In short order, Dunmoore went from staring down the Empire's finest on the bridge of a wrecked battleship to taking on a demoralized, semi-mutinous crew, scheming Admirals and a deadly mystery. Stingray's bad luck wasn't just superstition gone rampant. Between a crew that won't talk, political enemies who want her gone, and her personal demons, she's got her hands full. Taking the frigate into battle under those conditions would seem foolish to anyone else, but Dunmoore was never one to shrink from a good fight. Failure was not an option, and defeat not an acceptable alternative, for there was no honor in death, only in victory.  She would redeem herself and her ship or be damned for all eternity.","84, 30, 1, 176, 175, 33, 86, 1, 89"
"This is the story of Pacorus, a prince of the Parthian Empire. When the two mighty empires of Parthia and Rome clash, Pacorus and his warriors are captured and sent to Italy in chains. Landing in Italy near Mount Vesuvius, they are set to endure a living hell in the fields under the overseer's whip. But fate intervenes and they are freed during an attack on the camp of their Roman captors by Spartacus and his followers. Pacorus accepts the offer of Spartacus to raise a force of horsemen to fight with him against the Romans. Thus begins the epic tale of the Spartacus slave revolt, as told by the friend and cavalry general of the slave leader, a tale of love, war, savagery, honour and the eternal quest for freedom.","84, 1, 89, 17, 86"
"His mother was one of the most powerful wizards in the Nurian Empire until she abandoned her people to become a notorious pirate. That choice doomed the family she left behind to a life of disgrace.

Yanko White Fox doesn’t remember his mother, but as the only gifted child in the family, he is expected to erase the mark she left on them all. With an affinity for earth magic and communicating with animals, he’s not the most natural candidate to become a warrior mage, but it’s the only sure route back into the Great Chief’s good graces. He has resigned himself to training for that destiny, whether it matches his passions or not.

Long before he’s ready for his first battle, insurrection comes to his distant corner of the empire. Rebels take over the salt mine his family manages and slay the only relative who ever supported Yanko. On the heels of the tragedy, a courier brings a message from the Great Chief’s son. Whether he is prepared or not, Yanko must undertake a quest, one that could save millions of lives… or fail utterly, leaving him dead, his family forgotten, and his people the victims of starvation and endless war.","84, 14, 120, 1, 87"
"Ten years a woman is the extraordinary tale of one man’s gender-bending eighteenth century odyssey.

Rupert Hill is a nineteen year old man who has settled for a life as a wig maker’s assistant in eighteenth century Plymouth, England. His marriage to Emeline is an unhappy one yet he is content that he is able to provide a humble roof over their heads and food upon the table.

He returns home one day to find his Emeline in bed with another. A brute of a man named Jacob who is swift to take advantage of Rupert’s slight build and inability to stand up to one such as himself. Rupert is soon thrown out onto the street and finds himself wandering aimlessly in search of shelter.

In a series of unfortunate events he is stripped of everything in a street robbery. Clad only in the female clothing that he could find upon the street he is mistaken for a lone and vulnerable woman by two drunken and mercenary sailors. Kidnapped and spirited aboard a ship, Rupert awakes to find himself enslaved amongst a group of similarly unfortunate women.

Thrust into a new life as a blackmarket female slave he must guard his secret carefully for fear of discovery and the undoubted consequences should his true gender be revealed. An unknown and frightening future awaits him on a distant shore, but first he must survive the treacherous journey across the seas amidst a hardened crew of testosterone fuelled sailors.

This story contains explicit sexual scenes and is only suitable for readers of eighteen years and over.","84, 22, 86, 1, 86"
"INTRODUCTION
On June 5th, 1944, towards the end of World War II, amidst the roaring sounds of aircraft, firearms, combat vehicles and explosions. a British Hawker Typhoon dropped an air to ground rocket on the Electronic Warfare Van occupied by Eugen Schroeder. He, along with other members of his team, was captured by American forces. They were all transferred to an Army POW Camp in Houlton, Maine. 
Gene Ross, a ten-year-old US citizen, living on a small farm in Monticello, grew up in times when kids were taught to hate Germans. Although little Gene is quite frightened at the prospect of meeting the prisoners from Germany, he is amazed to learn how there is little or no difference at all between his people and the people from beyond.  the enemy lines. The friendship he shares with one of these prisoners of war (Big Gene) becomes very close, very emotional. When the war ends and Big Gene returns to Germany, Little Gene understands the pang of separation for the first time. 
	This book “Big Gene Little Gene” is an emotional dip into an era where murders and butcheries in the name of wars and nationalism were considered to be common.  Hitler, whose promises of a great future in a powerful Germany, found mindboggling success by pushing young brains to the war front.  Read this story of the “Big Gene and the Little Gene” to know how a war changes life and how people learn to accept truths that they wouldn’t have seen in their normal lives. If you find it hard to imagine how it feels to come back home, after being trapped in a war for years and find nothing but the dust and soil waiting for you to touch them, this is the book for you. Go through the tumultuous life of the Big Gene and find out whether he wins the war of life in the end or loses everything to his destiny.","84, 1, 89, 3"
"A young soldier is having his throat cut by Middle-Eastern devil-worshipers, when he saved by a strangely dressed man who transports him to a snow-covered mountain where he meets a Viking princess and develops an infatuation for her.  He is invited to join a secret organization called the Guardians who lived inside a hallowed out mountain in Iceland.  He then begins training as a Blood Warrior, and learns how to use a gem studded bracelet.  This controls a number of fantastical devises to fight against a cult of Satanist who were scheming to take over the world.  They have already infiltrated and taken over the the Middle-East country of Zurkistan, and their terrorist organization also controls large areas of Syria and Iraq.
The Blood Warriors develop a plan to lure their enemy into a trap, in and attempt to destroy them.  They do this by robbing the Zurkistani State Bank and stealing over one hundred and thirty-eight billion dollars in precious metals and foreign currencies.  And, to add insult to injury, they take the Zurkistani Crown Jewels.","84, 1, 86, 85"
"Duke Alaric, a seasoned ruler with a vision for a corruption-free kingdom, prepares his capable son, Ren, to succeed him. United in their desire to reform the aristocracy, father and son forge a strong bond. Their plans are abruptly derailed when their old adversary, the exiled Duke Marcel, resurfaces with a vengeful intent. As war looms, Ren and Amelia's newfound love is tested, while Lyra and Kaito grapple with their growing attraction. The five friends find themselves at the heart of a perilous conflict, forced to make unimaginable sacrifices as they fight to protect their homeland and fulfill their shared dream of a just society.","84, 14, 86, 1, 89, 29, 119"
